"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"16","서울특별시 영등포구 양평동2가","22-1","0022","0001","스카이시티","18.1800","202505","03","11,700","9","개인","개인","2014","영등포로 14-3","-","중개거래","서울 영등포구"
"17","서울특별시 영등포구 영등포동4가","443","0443","0000","영등포 센트럴 푸르지오 시티","29.4600","202505","03","21,350","3","개인","개인","2013","문래로 180","-","중개거래","서울 영등포구"
"18","서울특별시 서대문구 연희동","80-7","0080","0007","파라다이스텔에스비","15.9400","202505","03","9,000","10","개인","개인","2003","연희로 158","-","중개거래","서울 서대문구"
"19","서울특별시 마포구 상암동","1596","1596","0000","상암DMC푸르지오시티, S-City","24.6000","202505","02","25,500","8","개인","개인","2017","월드컵북로54길 25","-","직거래","-"
"20","서울특별시 노원구 상계동","1267","1267","0000","토마토파르코","72.7600","202505","02","29,500","15","개인","개인","2005","동일로 1700","-","중개거래","서울 노원구"
"21","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","10,000","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"22","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","7,500","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"23","서울특별시 영등포구 영등포동2가","284-4","0284","0004","루브르하우스","29.6200","202505","02","22,500","4","개인","개인","2018","영등포로47길 16","-","중개거래","서울 영등포구"
"24","서울특별시 강동구 명일동","46-3","0046","0003","고덕역 대명벨리온","21.3124","202505","02","19,500","18","개인","개인","2021","고덕로 266","-","중개거래","서울 강동구"
"25","서울특별시 송파구 문정동","652","0652","0000","송파법조타운푸르지오시티","17.4700","202505","02","18,400","10","개인","개인","2018","법원로4길 5","-","중개거래","서울 송파구"
"26","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","28.0200","202505","02","15,500","2","개인","개인","2012","독산로108길 9","-","직거래","-"
"27","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","9,200","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"28","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","8,300","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"29","서울특별시 송파구 방이동","49-4","0049","0004","아주리센 센트럴파크","15.6700","202505","02","16,000","10","개인","개인","2018","오금로11길 55-8","-","중개거래","서울 송파구"
"30","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","9,000","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"31","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","28.7100","202505","02","17,500","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"32","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","28.7100","202505","02","18,000","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"33","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","12.0700","202505","02","6,200","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"34","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","9,000","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"35","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","10,000","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"36","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","28.7100","202505","02","16,000","2","개인","개인","2012","독산로108길 9","-","직거래","-"
"37","서울특별시 마포구 상수동","93-45","0093","0045","로하스타워","48.2600","202505","02","34,000","6","개인","개인","2007","와우산로 48","-","중개거래","서울 마포구"
"38","서울특별시 구로구 구로동","97","0097","0000","로제리움2차","19.7400","202505","02","11,800","12","개인","개인","2014","가마산로26길 5","-","직거래","-"
"39","서울특별시 마포구 성산동","590-5","0590","0005","상암월드시티","19.8100","202505","02","13,900","12","개인","개인","2014","월드컵로34길 13","-","중개거래","서울 마포구"
"40","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","7,400","2","개인","개인","2012","독산로108길 9","-","직거래","-"
"41","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","10,000","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"42","서울특별시 성동구 하왕십리동","903-3","0903","0003","동인 레반트 오피스텔","30.3200","202505","02","18,000","3","개인","개인","2005","왕십리로 369","-","중개거래","서울 성동구"
"43","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","28.7100","202505","02","15,300","2","개인","개인","2012","독산로108길 9","-","직거래","-"
"44","서울특별시 강서구 가양동","1479-9","1479","0009","휴먼빌","25.6400","202505","02","10,500","12","개인","개인","2004","양천로57길 9-13","-","중개거래","서울 강서구"
"45","서울특별시 종로구 숭인동","1388","1388","0000","동양파라빌","24.9300","202505","02","11,800","7","개인","개인","2005","난계로 251","-","중개거래","서울 종로구"
"46","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","9,500","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"47","서울특별시 금천구 독산동","950-5","0950","0005","GREEN HILL","14.0100","202505","02","9,500","4","개인","개인","2012","독산로108길 9","-","직거래","-"
"48","서울특별시 마포구 상암동","1734","1734","0000","상암 한화 오벨리스크","19.9300","202505","02","10,500","5","개인","개인","2013","구룡길 19","-","중개거래","서울 마포구"
"49","서울특별시 중구 황학동","1725","1725","0000","골드캐슬Ⅰ","40.8700","202505","01","23,000","3","개인","개인","2015","난계로21길 19","-","중개거래","서울 중구"
"50","서울특별시 강남구 역삼동","824-25","0824","0025","대우디오빌플러스","38.9600","202505","01","28,000","11","개인","개인","2004","강남대로84길 33","-","중개거래","서울 강남구"
"51","서울특별시 강서구 마곡동","776-2","0776","0002","마곡센트럴대방디엠시티오피스텔","39.9724","202505","01","38,000","9","개인","개인","2017","양천로 344","-","중개거래","서울 강서구"
"52","서울특별시 강서구 마곡동","776-2","0776","0002","마곡센트럴대방디엠시티오피스텔","24.0212","202505","01","17,800","3","개인","개인","2017","양천로 344","-","중개거래","서울 강서구"
"53","서울특별시 강서구 마곡동","784","0784","0000","마곡경동미르웰","17.9600","202505","01","12,400","5","개인","개인","2015"," ","-","중개거래","서울 강서구"
"54","서울특별시 동대문구 전농동","620-6","0620","0006","청량리역 렉스프라임","18.4400","202505","01","23,000","14","개인","개인","2023","왕산로 190","-","중개거래","경기 의정부시"
"55","서울특별시 금천구 가산동","550-17","0550","0017","가산 미소지움","16.2400","202505","01","9,200","2","개인","개인","2017","서부샛길 528","-","중개거래","서울 금천구"
"56","서울특별시 양천구 신정동","972-6","0972","0006","퀸즈 포디엄","17.7000","202505","01","17,100","7","개인","개인","2020","신월로 289","-","중개거래","서울 양천구"
"57","서울특별시 금천구 독산동","1005-4","1005","0004","가산글로벌퍼스트","28.5000","202505","01","22,000","9","개인","개인","2018","범안로12길 56","-","직거래","-"
"58","서울특별시 도봉구 창동","624-1","0624","0001","북한산현대홈시티","61.5700","202505","01","31,500","8","개인","개인","2005","도봉로106길 23","-","중개거래","서울 도봉구"
"59","서울특별시 용산구 원효로1가","112-4","0112","0004","디아뜨 센트럴","25.5000","202505","01","15,500","12","개인","개인","2004","원효로 268","-","직거래","-"
"60","서울특별시 용산구 문배동","11-10","0011","0010","용산KCC웰츠타워","29.8900","202505","01","29,500","5","개인","개인","2015","백범로90길 90","-","직거래","-"
"61","서울특별시 영등포구 당산동5가","9-3","0009","0003","당산역해링턴타워","23.5900","202505","01","21,000","14","개인","개인","2015"," ","-","중개거래","서울 영등포구"
"62","서울특별시 마포구 아현동","331-29","0331","0029","트렌빌","35.7600","202505","01","48,700","6","개인","개인","2019","신촌로32길 3-8","-","중개거래","서울 서대문구"
"63","서울특별시 마포구 상수동","339-15","0339","0015","오벨리스크","16.6700","202504","30","10,000","2","개인","개인","2002","토정로 104","-","중개거래","서울 마포구"
"64","서울특별시 강북구 번동","446-13","0446","0013","가든타워오피스텔","40.0200","202504","30","16,200","14","개인","개인","1991","도봉로 328","-","중개거래","서울 강북구"
"65","서울특별시 강서구 방화동","612-2","0612","0002","경동화인시티","19.4400","202504","30","8,200","4","개인","개인","2010","개화동로29길 49","-","직거래","-"
"66","서울특별시 마포구 도화동","555","0555","0000","마포 한화 오벨리스크","27.5600","202504","30","29,700","35","개인","개인","2004","마포대로 33","-","중개거래","서울 마포구"
"67","서울특별시 마포구 성산동","590-4","0590","0004","KCC상암스튜디오380","20.3500","202504","30","14,300","15","개인","개인","2014"," ","-","중개거래","서울 성동구"
"68","서울특별시 서대문구 연희동","340-27","0340","0027","현대싱그런","86.1700","202504","30","65,000","6","개인","법인","2007","성산로 371","-","중개거래","서울 서대문구"
"69","서울특별시 강서구 등촌동","648-6","0648","0006","비원오피스텔","36.9900","202504","30","16,700","10","개인","개인","2004","공항대로 525","-","중개거래","서울 강서구"
"70","서울특별시 강남구 수서동","716","0716","0000","사이룩스","32.5800","202504","30","24,000","8","기타","개인","2003","광평로 295","-","중개거래","서울 강남구"
"71","서울특별시 강남구 수서동","716","0716","0000","사이룩스","33.5200","202504","30","22,500","5","기타","개인","2003","광평로 295","-","중개거래","서울 강남구"
"72","서울특별시 강남구 수서동","716","0716","0000","사이룩스","32.5800","202504","30","23,900","7","기타","개인","2003","광평로 295","-","중개거래","서울 강남구"
"73","서울특별시 마포구 성산동","590-5","0590","0005","상암월드시티","19.8100","202504","30","13,400","3","개인","개인","2014","월드컵로34길 13","-","중개거래","서울 마포구"
"74","서울특별시 동대문구 장안동","342-3","0342","0003","르.메이에르 장안타운 6차","51.6300","202504","30","18,200","9","개인","개인","2005","장한로26나길 13","-","중개거래","서울 동대문구"
"75","서울특별시 송파구 문정동","624","0624","0000","송파 아이파크","25.8700","202504","30","22,000","11","개인","개인","2015","법원로 55","-","중개거래","서울 송파구"
"76","서울특별시 강서구 마곡동","784-13","0784","0013","아르디에","18.5900","202504","30","8,460","3","개인","개인","2015"," ","-","직거래","-"
"77","서울특별시 중랑구 상봉동","81-5","0081","0005","한일써너스빌","32.4800","202504","30","17,000","24","개인","개인","2003","망우로 346","-","중개거래","서울 중랑구"
"78","서울특별시 중구 충무로2가","48-2","0048","0002","명동 엠퍼스트플레이스","20.2800","202504","30","22,000","8","개인","개인","2007","삼일대로8길 15-1","-","중개거래","서울 중구"
"79","서울특별시 은평구 진관동","100","0100","0000","은평헤스티아","26.2300","202504","30","12,700","11","개인","개인","2015","통일로 1030","-","중개거래","서울 은평구"
"80","서울특별시 구로구 구로동","650-4","0650","0004","SK 허브수 ","37.5300","202504","30","20,400","4","개인","개인","2005","구일로10길 27","-","중개거래","서울 구로구"
"81","서울특별시 광진구 구의동","253-19","0253","0019","센트럴빌","41.2900","202504","30","25,400","5","개인","개인","2003","광나루로 486","-","중개거래","서울 광진구"
"82","서울특별시 영등포구 당산동5가","9-2","0009","0002","당산 삼성쉐르빌","25.0900","202504","30","19,700","20","개인","개인","2013","당산로45길 1","-","중개거래","서울 영등포구"
"83","서울특별시 영등포구 도림동","820","0820","0000","쌍용플래티넘시티1단지","62.4200","202504","29","54,800","4","개인","개인","2006","도영로7길 15","-","중개거래","서울 구로구"
"84","서울특별시 송파구 잠실동","40","0040","0000","갤러리아팰리스","48.9940","202504","29","68,400","5","개인","개인","2005","올림픽로 212","-","중개거래","서울 송파구"
"85","서울특별시 송파구 잠실동","175-1","0175","0001","위너스오피스텔II","29.1600","202504","29","24,000","9","개인","개인","1991","백제고분로 67","-","중개거래","서울 송파구"
"86","서울특별시 강남구 자곡동","655","0655","0000","강남 푸르지오시티 2차(PRUGIO CITYⅡ)","21.8720","202504","29","14,400","5","개인","개인","2014","자곡로 192","-","중개거래","서울 강남구"
"87","서울특별시 강남구 수서동","716","0716","0000","사이룩스","33.5200","202504","29","23,000","9","개인","개인","2003","광평로 295","-","중개거래","서울 강남구"
"88","서울특별시 마포구 도화동","555","0555","0000","마포 한화 오벨리스크","33.9300","202504","29","36,000","17","개인","개인","2004","마포대로 33","-","중개거래","서울 마포구"
"89","서울특별시 강남구 역삼동","825-20","0825","0020","강남역 센트럴 푸르지오 시티","24.6100","202504","29","29,700","7","법인","개인","2015"," ","-","중개거래","서울 강남구"
"90","서울특별시 양천구 목동","905-33","0905","0033","스카이포레","18.1300","202504","29","12,600","6","개인","개인","2015"," ","-","중개거래","서울 양천구"
"91","서울특별시 영등포구 영등포동3가","17-3","0017","0003","더-위일 신세계","17.6600","202504","29","17,300","11","개인","개인","2020","영중로8길 15","-","중개거래","서울 영등포구"
"92","서울특별시 영등포구 당산동5가","9-3","0009","0003","당산역해링턴타워","23.5900","202504","29","21,000","11","개인","개인","2015"," ","-","중개거래","서울 영등포구"
"93","서울특별시 성동구 성수동1가","685-308","0685","0308","아트빌딩","26.9000","202504","29","19,000","7","법인","개인","2003","서울숲길 45","-","중개거래","서울 성동구"
"94","서울특별시 용산구 한남동","830","0830","0000","브라이튼 한남","82.7149","202504","29","327,580","10","개인","법인","2024","독서당로14길 24","-","중개거래","서울 강남구"
"95","서울특별시 강북구 번동","446-13","0446","0013","가든타워오피스텔","36.9000","202504","29","14,800","9","개인","개인","1991","도봉로 328","-","중개거래","서울 강북구"
"96","서울특별시 동대문구 답십리동","493-1","0493","0001","답십리역 지웰에스테이트","59.9200","202504","29","62,500","11","개인","개인","2024","천호대로 301","-","중개거래","서울 동대문구"
"97","서울특별시 은평구 진관동","100-2","0100","0002","은평뉴타운 신한 헤센스마트","20.0400","202504","29","10,800","3","개인","개인","2017","통일로 1020","-","중개거래","서울 은평구"
"98","서울특별시 은평구 진관동","100-2","0100","0002","은평뉴타운 신한 헤센스마트","20.0400","202504","29","12,400","12","개인","개인","2017","통일로 1020","-","중개거래","서울 은평구"
"99","서울특별시 강동구 천호동","425-3","0425","0003","천호역 한강 푸르지오시티","26.2700","202504","29","16,900","23","개인","개인","2015","구천면로 192","-","중개거래","서울 강동구"
"100","서울특별시 은평구 응암동","112-2","0112","0002","미가오피스텔","21.6600","202504","28","13,000","2","개인","개인","2017"," ","-","중개거래","서울 은평구"
"101","서울특별시 양천구 신월동","994-10","0994","0010","센트필드","37.9300","202504","28","25,923","5","개인","법인","2023","남부순환로 572","-","직거래","-"
"102","서울특별시 강북구 수유동","230-7","0230","0007","효성 인텔리안 오피스텔","28.8200","202504","28","13,000","18","개인","개인","2005","도봉로 313","-","중개거래","서울 강북구"
"103","서울특별시 동대문구 답십리동","498-5","0498","0005","메트로팰리스","25.4700","202504","28","11,400","15","개인","개인","2005","천호대로 247","-","중개거래","서울 동대문구"
"104","서울특별시 중구 중림동","355","0355","0000","브라운스톤서울","30.9860","202504","28","27,000","7","법인","개인","2006","청파로 464","-","중개거래","서울 중구"
"105","서울특별시 광진구 화양동","174","0174","0000","건대 트레비앙 오피스텔","18.6640","202504","28","22,379","8","개인","개인","2023","광나루로 374","-","직거래","-"
"106","서울특별시 구로구 구로동","187-3","0187","0003","예성유토피아","56.2500","202504","28","34,500","6","법인","기타","2005","도림천로 448","-","중개거래","서울 구로구"
"107","서울특별시 양천구 목동","917","0917","0000","목동파라곤","103.7100","202504","28","180,000","7","개인","개인","2004","목동서로 155","-","중개거래","서울 양천구"
"108","서울특별시 송파구 문정동","622","0622","0000","송파한화오벨리스크","29.9900","202504","28","23,400","13","개인","개인","2013","충민로 5","-","중개거래","서울 송파구"
"109","서울특별시 영등포구 여의도동","13","0013","0000","여의도파라곤","34.2100","202504","28","30,650","4","개인","개인","2005","국회대로 800","-","중개거래","서울 영등포구"
"110","서울특별시 중구 신당동","140-23","0140","0023","신당역솔하임","18.6000","202504","28","17,200","10","개인","개인","2016"," ","-","중개거래","서울 중구"
"111","서울특별시 광진구 화양동","111-12","0111","0012","빌리브 인테라스","16.8752","202504","28","23,000","3","개인","개인","2021","능동로 172","-","중개거래","서울 광진구"
"112","서울특별시 중구 신당동","140-23","0140","0023","신당역솔하임","18.8000","202504","28","17,200","12","개인","개인","2016"," ","-","중개거래","서울 중구"
"113","서울특별시 양천구 신월동","994-10","0994","0010","센트필드","37.9300","202504","28","25,923","6","개인","법인","2023","남부순환로 572","-","직거래","-"
"114","서울특별시 강서구 마곡동","795-2","0795","0002","마곡아이파크","25.5470","202504","28","17,800","10","개인","개인","2016","마곡중앙8로 90","-","중개거래","서울 강서구"
"115","서울특별시 강서구 마곡동","760","0760","0000","마곡나루역보타닉푸르지오시티","19.9600","202504","28","16,000","3","개인","개인","2017"," ","-","중개거래","서울 강서구"
"116","서울특별시 강서구 방화동","830-1","0830","0001","에어뷰21-2오피스텔","26.2200","202504","28","7,750","5","개인","개인","1999","금낭화로 136","-","중개거래","서울 강서구"
"117","서울특별시 서대문구 합동","116","0116","0000","SK리쳄블","34.2200","202504","28","22,500","9","개인","개인","2005","서소문로 45","-","중개거래","서울 서대문구"
"118","서울특별시 강동구 강일동","677-3","0677","0003","트리피움오피스텔","15.9100","202504","28","8,200","5","개인","개인","2015"," ","-","중개거래","서울 강동구"
"119","서울특별시 양천구 신월동","994-10","0994","0010","센트필드","37.9300","202504","28","25,923","7","개인","법인","2023","남부순환로 572","-","직거래","-"
"120","서울특별시 서대문구 연희동","218-1","0218","0001","연희체스트빌","16.8300","202504","28","11,400","6","개인","개인","2005","연희로 63","-","중개거래","서울 서대문구"
"121","서울특별시 송파구 방이동","22-5","0022","0005","잠실리시온","40.3500","202504","28","32,000","6","개인","개인","2004","오금로 87","-","중개거래","서울 송파구"
"122","서울특별시 양천구 신월동","994-10","0994","0010","센트필드","37.9300","202504","28","25,923","4","개인","법인","2023","남부순환로 572","-","직거래","-"
"123","서울특별시 마포구 성산동","592-5","0592","0005","상암 우남퍼스트빌스타","16.9054","202504","28","15,000","16","개인","개인","2017","모래내로 5","-","중개거래","서울 마포구"
"124","서울특별시 양천구 신월동","994-10","0994","0010","센트필드","38.6300","202504","28","26,313","5","개인","법인","2023","남부순환로 572","-","직거래","-"
"125","서울특별시 도봉구 방학동","719-2","0719","0002","북한산현대렉시온오피스텔","26.4000","202504","28","13,000","13","개인","개인","2004","도봉로152길 16","-","중개거래","서울 도봉구"
"126","서울특별시 금천구 가산동","550-17","0550","0017","가산 미소지움","15.9300","202504","27","9,500","3","개인","개인","2017","서부샛길 528","-","중개거래","서울 금천구"
"127","서울특별시 영등포구 당산동1가","236","0236","0000","세인트 빌","29.9300","202504","27","22,000","2","개인","개인","2017"," ","-","중개거래","서울 영등포구"
"128","서울특별시 금천구 가산동","139-3","0139","0003","램킨푸르지오시티","21.3800","202504","26","11,100","9","개인","개인","2013","벚꽃로56길 182","-","중개거래","서울 금천구"
"129","서울특별시 강동구 천호동","167-134","0167","0134","더존예가","58.3100","202504","26","34,000","5","개인","개인","2015","진황도로29길 13","-","중개거래","서울 강동구"
"130","서울특별시 영등포구 당산동3가","395-37","0395","0037","현대하이츠","59.9200","202504","26","45,700","2","개인","개인","2017","당산로31길 16-10","-","중개거래","서울 영등포구"
"131","서울특별시 금천구 독산동","1156","1156","0000","금천 롯데캐슬 골드파크 4차","21.9900","202504","26","16,500","8","개인","개인","2019","시흥대로 315","-","중개거래","서울 금천구"
"132","서울특별시 영등포구 여의도동","47","0047","0000","여의도자이","41.2400","202504","26","55,000","16","개인","개인","2008","여의동로3길 10","-","중개거래","서울 영등포구"
"133","서울특별시 마포구 도화동","571","0571","0000","나눔빌딩","25.5600","202504","26","24,000","11","개인","개인","2015","도화길 43","-","중개거래","서울 마포구"
"134","서울특별시 강동구 천호동","414","0414","0000","두산위브센티움","31.3700","202504","26","15,000","20","개인","개인","2004","올림픽로70길 61","-","중개거래","서울 강동구"
"135","서울특별시 송파구 방이동","49-4","0049","0004","아주리센 센트럴파크","28.8800","202504","26","32,000","9","개인","개인","2018","오금로11길 55-8","-","중개거래","서울 송파구"
"136","서울특별시 마포구 성산동","590-4","0590","0004","KCC상암스튜디오380","20.3500","202504","26","14,500","15","개인","개인","2014"," ","-","중개거래","서울 마포구"
"137","서울특별시 동대문구 용두동","787","0787","0000","동의보감타워","36.0150","202504","26","17,000","15","개인","개인","2005","왕산로 128","-","중개거래","서울 동대문구"
"138","서울특별시 강남구 자곡동","658","0658","0000","강남힐스테이트에코","23.7470","202504","26","16,100","5","개인","개인","2014","자곡로 202","-","중개거래","서울 강남구"
"139","서울특별시 구로구 신도림동","337","0337","0000","신도림1차푸르지오","117.0100","202504","26","96,000","14","개인","개인","2007","경인로 661","-","중개거래","서울 구로구"
"140","서울특별시 강서구 등촌동","656-37","0656","0037","한빛어반뉴스토리","27.3100","202504","26","20,000","14","개인","개인","2017"," ","-","중개거래","서울 강서구"
"141","서울특별시 마포구 도화동","559","0559","0000","마포트라팰리스","80.3000","202504","26","105,000","12","개인","개인","2006","마포대로 53","-","중개거래","서울 마포구"
"142","서울특별시 동대문구 용두동","787","0787","0000","동의보감타워","36.0150","202504","26","16,900","15","개인","개인","2005","왕산로 128","-","중개거래","서울 동대문구"
"143","서울특별시 은평구 역촌동","42-8","0042","0008","거장메카","16.5300","202504","26","10,000","9","개인","개인","2018","진흥로 35","-","직거래","-"
"144","서울특별시 동대문구 용두동","104-3","0104","0003","동대문 푸르지오시티","23.4700","202504","26","16,800","5","개인","개인",""," ","-","중개거래","서울 동대문구"
"145","서울특별시 강서구 방화동","830-1","0830","0001","에어뷰21-2오피스텔","26.9100","202504","26","8,100","10","개인","개인","1999","금낭화로 136","-","중개거래","서울 강서구"
"146","서울특별시 강동구 천호동","414","0414","0000","두산위브센티움","31.3700","202504","26","14,800","17","개인","개인","2004","올림픽로70길 61","-","중개거래","서울 강동구"
"147","서울특별시 송파구 문정동","652","0652","0000","송파법조타운푸르지오시티","17.4700","202504","26","17,800","8","개인","개인","2018","법원로4길 5","-","중개거래","서울 송파구"
"148","서울특별시 성동구 마장동","766-25","0766","0025","1동(766-25)","65.0700","202504","26","34,500","3","개인","개인","2004","마장로39길 51","-","중개거래","서울 성동구"
"149","서울특별시 중구 을지로6가","23","0023","0000","타임캐슬 오피스텔","39.8800","202504","25","26,000","14","법인","개인","2004","을지로 254","-","중개거래","서울 중구"
"150","서울특별시 양천구 목동","916","0916","0000","현대하이페리온","83.2300","202504","25","152,000","49","개인","개인","2003","목동동로 257","-","중개거래","서울 양천구"
"151","서울특별시 은평구 응암동","109-12","0109","0012","래디앙","18.0100","202504","25","7,900","2","개인","개인","2003","은평로8길 7-2","-","중개거래","서울 은평구"
"152","서울특별시 강서구 등촌동","673-6","0673","0006","등촌동성원상떼뷰오피스텔","37.5400","202504","25","16,400","6","개인","개인","2003","공항대로 291","-","중개거래","서울 강서구"
"153","서울특별시 노원구 중계동","509-1","0509","0001","씨앤미","50.3500","202504","25","23,000","4","개인","개인","2004","동일로204가길 34","-","중개거래","서울 노원구"
"154","서울특별시 은평구 진관동","100-5","0100","0005","메이플카운티","24.1700","202504","25","13,000","8","법인","개인","2014","진관1로 21-39","-","직거래","-"
"155","서울특별시 마포구 상암동","1748","1748","0000","상암 오벨리스크 2차","25.4800","202504","25","15,000","2","법인","개인","2014"," ","-","직거래","-"
