"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-01 ~ 2025-03-01"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"11","경기도 수원시 권선구 세류동","1***","단독","25m이상","128.92","444.50","202503","01","33,150","개인","개인","2013","경수대로","-","중개거래","경기 수원시 팔달구"
"12","충청북도 제천시 백운면 애련리","6*","단독","8m미만","158.89","402.00","202503","01","23,500","개인","개인","2020","애련로10길","-","중개거래","충북 제천시"
"13","충청남도 공주시 금학동","2**","단독","12m미만","88.91","198.00","202503","01","16,685","개인","개인","1996","금학동길","-","중개거래","충남 공주시"
"14","전북특별자치도 진안군 주천면 대불리","1***","단독","12m미만","175.64","791.00","202503","01","13,000","개인","개인","1997","동상주천로","-","직거래","-"
"15","충청북도 청주시 서원구 남이면 가좌리","2**","단독","8m미만","158.25","541.00","202503","01","46,200","개인","개인","2015","청남로","-","중개거래","충북 청주시 흥덕구"
"16","경기도 연천군 백학면 백령리","1**","단독","8m미만","81.09","352.00","202503","01","10,000","개인","개인","1992","두백로","-","중개거래","경기 연천군"
"17","강원특별자치도 홍천군 남면 시동리","3**","단독","8m미만","88.32","238.00","202503","01","8,500","개인","개인","2007","시동안로","-","중개거래","강원 홍천군"
"18","충청남도 보령시 주산면 삼곡리","9*","단독","8m미만","42.33","245.00","202503","01","2,400","개인","개인","1991","큰샘실길","-","중개거래","충남 서천군"
"19","전라남도 영암군 금정면 안노리","4**","단독","8m미만","96.82","643.00","202503","01","9,000","개인","개인","2018","연지길","-","직거래","-"
"20","충청북도 청주시 청원구 오창읍 양청리","7**","단독","25m미만","272.10","229.90","202503","01","67,000","개인","개인","2008","양청택지2길","-","중개거래","충북 청주시 청원구"
"21","경상북도 청도군 매전면 금천리","1***","단독","8m미만","13.22","194.00","202503","01","4,300","개인","개인","1931","이사리1길","-","직거래","-"
"22","경상북도 안동시 임동면 중평리","8**","단독","8m미만","67.45","268.00","202503","01","8,300","개인","개인","1988","편항1길","-","중개거래","경북 안동시"
"23","서울특별시 종로구 부암동","2**","단독","8m미만","56.46","129.00","202503","01","78,000","개인","개인","1971","창의문로12길","-","중개거래","서울 종로구"
"24","충청북도 청주시 흥덕구 가경동","6**","단독","8m미만","89.54","237.00","202503","01","33,265","법인","개인","2003","서현로52번길","-","직거래","-"
"25","부산광역시 강서구 신호동","2**","다가구","8m미만","331.82","225.90","202503","01","60,000","개인","개인","2015","신호산단4로76번길","-","중개거래","부산 강서구"
"26","전라남도 나주시 세지면 오봉리","3**","단독","8m미만","135.90","658.00","202503","01","24,627","개인","개인","2021","열곡길","-","직거래","-"
"27","부산광역시 기장군 기장읍 대라리","4**","다가구","8m미만","181.28","199.00","202503","01","32,000","개인","개인","1990","차성로287번길","-","중개거래","부산 기장군"
"28","전라남도 나주시 공산면 금곡리","8**","단독","12m미만","66.00","50.00","202503","01","2,385","개인","개인","1981","덕음로","20250407","직거래","-"
"29","충청남도 부여군 규암면 내리","4**","단독","8m미만","33.05","369.00","202503","01","3,500","개인","개인","1979","내서로","-","직거래","-"
"30","경기도 양평군 용문면 중원리","4**","단독","8m미만","95.70","541.00","202503","01","28,579","개인","개인","2020","중원산로477번길","20250331","중개거래","경기 양평군"
"31","서울특별시 마포구 합정동","3**","단독","8m미만","659.53","407.60","202503","01","565,000","개인","개인","1996","성지1길","-","중개거래","서울 마포구"
"32","경상북도 문경시 모전동","6*","단독","8m미만","62.73","153.70","202503","01","9,200","개인","개인","2001","남부4길","-","직거래","-"
"33","경상북도 영천시 금호읍 오계리","2**","단독","8m미만","66.87","198.00","202503","01","9,600","개인","개인","2006","종동길","-","중개거래","경북 영천시"
"34","경상남도 사천시 벌리동","5*","단독","12m미만","98.94","194.60","202503","01","13,000","개인","개인","1986","벌리한들길","-","중개거래","경남 사천시"
"35","서울특별시 성동구 성수동2가","6**","단독","8m미만","161.16","112.00","202503","01","240,000","개인","개인","1989","성수이로6길","-","중개거래","서울 성동구, 서울 용산구"
"36","충청북도 영동군 황간면 신흥리","2**","단독","12m미만","37.38","228.00","202503","01","2,000","개인","개인","1990","황간로","-","직거래","-"
"37","서울특별시 성동구 성수동2가","6**","단독","8m미만","161.16","112.00","202503","01","240,000","개인","개인","1989","성수이로6길","20250313","중개거래","서울 성동구, 서울 용산구"
"38","인천광역시 연수구 선학동","3**","다가구","12m미만","501.60","210.10","202503","01","119,000","개인","개인","1996","비류대로529번길","-","중개거래","인천 연수구"
"39","충청북도 청주시 흥덕구 오송읍 봉산리","1***","단독","12m미만","481.04","241.00","202503","01","125,000","개인","법인","2024","봉산2길","-","중개거래","충북 청주시 흥덕구"
"40","경상남도 창원시 진해구 용원동","1***","다가구","25m미만","512.84","282.20","202503","01","66,000","개인","개인","2014","용원북로11번길","-","중개거래","경남 창원시 진해구"
"41","전북특별자치도 남원시 광치동","4**","단독","8m미만","73.44","380.00","202503","01","4,700","개인","개인","1979","광석안길","-","직거래","-"
"42","서울특별시 동작구 상도동","4**","다가구","8m미만","241.65","162.00","202503","01","200,000","개인","개인","1991","상도로50길","-","중개거래","서울 강남구, 서울 강서구"
"43","서울특별시 동작구 상도동","4**","다가구","25m미만","339.12","188.40","202503","01","270,000","개인","개인","1991","상도로50길","-","중개거래","서울 강남구, 서울 강서구"
"44","경상남도 거제시 능포동","6**","단독","8m미만","283.37","166.00","202503","01","25,000","개인","개인","2013","옥수로8길","-","중개거래","경남 거제시"
"45","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","105.08","61.20","202503","01","62,000","개인","개인","1991","산성대로225번길","-","중개거래","경기 성남시 수정구"
"46","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","120.32","64.10","202503","01","65,000","개인","개인","1995","수정로188번길","-","중개거래","경기 성남시 수정구"
"47","강원특별자치도 춘천시 효자동","7**","단독","12m미만","156.78","148.60","202503","01","15,500","개인","개인","1995","효평길","-","직거래","-"
"48","경상북도 경주시 산내면 외칠리","1***","단독","8m미만","52.82","417.00","202503","01","4,200","개인","개인","1934","하지1길","-","중개거래","울산 남구"
"49","강원특별자치도 영월군 무릉도원면 법흥리","1**","단독","8m미만","75.65","619.00","202503","01","13,500","개인","개인","2012","백년계곡길","-","중개거래","경기 화성시"
"50","대전광역시 서구 관저동","1***","단독","12m미만","383.27","192.00","202503","01","88,000","개인","개인","2018","구봉산북로7번길","-","중개거래","대전 서구"
"51","경상북도 영주시 가흥동","1***","단독","8m미만","88.02","184.00","202503","01","11,000","개인","개인","1978","지천로107번길","-","중개거래","경북 영주시"
"52","전북특별자치도 전주시 덕진구 금암동","1**","단독","8m미만","199.04","235.00","202503","01","17,300","개인","개인","1980","권삼득로","-","중개거래","전북 전주시 덕진구"
"53","전북특별자치도 전주시 덕진구 덕진동2가","1**","단독","8m미만","48.83","122.00","202503","01","20,500","개인","개인","1976","하가3길","-","중개거래","전북 전주시 덕진구, 전북 전주시 완산구"
"54","경상남도 창원시 진해구 경화동","4**","단독","8m미만","74.45","76.00","202503","01","8,800","개인","개인","1999","충장로337번길","-","중개거래","경남 창원시 진해구"
"55","충청남도 청양군 남양면 봉암리","1**","단독","8m미만","96.90","314.00","202503","01","5,000","개인","개인","1997","나래미길","-","중개거래","충남 청양군"
"56","경상남도 창원시 진해구 경화동","4**","단독","8m미만","74.45","76.00","202503","01","8,800","개인","개인","1999","충장로337번길","20250502","중개거래","경남 창원시 진해구"
"57","서울특별시 서대문구 북아현동","*","다가구","8m미만","147.15","93.00","202503","01","119,000","개인","개인","1993","북아현로14길","-","중개거래","서울 서대문구"
"58","서울특별시 성동구 금호동3가","4**","단독","8m미만","85.62","133.20","202503","01","120,000","개인","개인","1967","장터5가길","-","중개거래","서울 성동구"
"59","광주광역시 동구 동명동","2**","단독","8m미만","71.72","201.20","202503","01","39,500","개인","개인","1960","동계로13번길","-","직거래","-"
"60","경상남도 밀양시 하남읍 백산리","8**","단독","8m미만","46.28","205.00","202503","01","4,500","개인","개인","1900","백산중앙길","-","중개거래","경남 밀양시"
"61","광주광역시 동구 동명동","2**","단독","8m미만","71.72","201.20","202503","01","22,000","개인","개인","1960","동계로13번길","20250324","중개거래","광주 북구"
"62","전라남도 장흥군 장흥읍 남동리","1**","단독","8m미만","23.47","129.00","202503","01","3,800","개인","개인","1965","장원길","-","중개거래","전남 장흥군"
"63","충청남도 서천군 마서면 월포리","1**","단독","8m미만","81.49","453.00","202503","01","8,000","개인","개인","1970","","-","직거래","-"
"64","서울특별시 강동구 암사동","5**","단독","8m미만","322.74","247.80","202503","01","187,000","법인","법인","1988","올림픽로93길","-","중개거래","서울 강남구"
"65","전라남도 신안군 팔금면 당고리","1***","단독","8m미만","83.58","446.00","202503","01","1,900","개인","개인","1976","삼층석탑길","20250304","중개거래","전남 신안군"
"66","인천광역시 동구 송림동","9*","단독","12m미만","46.81","58.60","202503","01","10,000","개인","개인","1982","새천년로10번길","-","중개거래","인천 미추홀구"
"67","서울특별시 중랑구 면목동","3**","다가구","25m미만","191.41","204.30","202503","01","210,120","개인","개인","1974","면목로","-","중개거래","경기 안산시 단원구, 서울 중랑구"
"68","경기도 성남시 수정구 수진동","9**","다가구","8m미만","139.32","62.50","202503","01","73,000","개인","개인","1990","수정남로58번길","-","중개거래","경기 성남시 수정구"
"69","경기도 성남시 수정구 수진동","1***","다가구","8m미만","119.50","66.80","202503","01","80,000","개인","개인","1990","제일로110번길","-","중개거래","경기 성남시 수정구"
"70","경기도 성남시 수정구 수진동","8**","다가구","8m미만","151.30","69.40","202503","01","62,000","개인","개인","1992","수정남로68번길","20250319","중개거래","경기 성남시 수정구"
"71","경기도 성남시 수정구 수진동","3***","다가구","8m미만","147.22","64.80","202503","01","62,000","개인","개인","1987","수정남로28번길","-","중개거래","경기 성남시 수정구"
"72","강원특별자치도 속초시 교동","6**","단독","8m미만","59.46","132.00","202503","01","16,500","개인","개인","1983","교동로3길","-","중개거래","강원 속초시"
"73","경상남도 하동군 북천면 화정리","8**","단독","8m미만","116.05","650.00","202503","01","24,000","개인","개인","2020","상촌길","-","중개거래","경남 하동군"
"74","전북특별자치도 전주시 덕진구 진북동","9**","단독","8m미만","49.58","184.20","202503","01","13,500","개인","개인","1971","어은골길","-","직거래","-"
"75","경상남도 진주시 금산면 갈전리","1***","단독","12m미만","224.28","662.60","202503","01","50,000","개인","개인","2016","전원마을길","-","직거래","-"
"76","경기도 화성시 새솔동","4*","단독","12m미만","277.33","351.00","202503","01","129,000","개인","법인","2024","동이길","-","중개거래","경기 화성시"
"77","경기도 남양주시 수동면 수산리","4**","단독","8m미만","101.30","535.00","202503","01","20,765","개인","개인","2014","","20250418","중개거래","경기 남양주시"
"78","제주특별자치도 제주시 일도일동","1***","단독","8m미만","46.07","26.00","202503","01","8,000","개인","개인","1900","동문로11길","-","중개거래","제주 제주시"
"79","전라남도 고흥군 금산면 대흥리","3**","단독","12m미만","111.48","254.00","202503","01","4,500","개인","개인","1994","돈청길","-","직거래","-"
"80","경기도 김포시 장기동","1***","다가구","12m미만","404.07","231.80","202503","01","117,000","개인","개인","2016","김포한강1로78번길","-","중개거래","경기 김포시"
"81","대구광역시 수성구 수성동1가","9*","다가구","12m미만","255.50","162.00","202503","01","105,000","개인","개인","2013","달구벌대로454길","-","중개거래","대구 수성구"
"82","강원특별자치도 횡성군 강림면 강림리","1**","단독","8m미만","87.22","418.00","202503","01","14,400","개인","개인","2018","강림북2길","-","직거래","-"
"83","경상북도 칠곡군 가산면 천평리","8*","단독","8m미만","121.48","319.00","202503","01","21,000","개인","개인","1985","천평1길","-","중개거래","경북 칠곡군"
"84","경기도 수원시 장안구 조원동","7**","단독","25m미만","215.10","132.60","202503","01","40,000","개인","개인","1989","금당로","-","중개거래","경기 수원시 장안구"
"85","전북특별자치도 군산시 삼학동","3**","단독","8m미만","68.49","109.80","202503","01","7,600","개인","개인","1983","삼학3길","-","중개거래","전북 군산시"
"86","경상남도 의령군 지정면 두곡리","1***","단독","8m미만","116.00","937.00","202503","01","21,000","개인","개인","2013","고루로","-","중개거래","경남 창녕군"
"87","경상북도 안동시 태화동","6**","다가구","8m미만","657.89","370.00","202503","01","81,000","개인","개인","2013","말구리2길","-","직거래","-"
"88","경상남도 창원시 의창구 명서동","1**","단독","12m미만","126.85","262.20","202503","01","41,000","개인","개인","1986","지귀로59번길","-","중개거래","경남 창원시 의창구"
"89","전북특별자치도 순창군 순창읍 남계리","3**","단독","12m미만","106.51","159.00","202503","01","9,600","개인","개인","1991","양지길","20250313","중개거래","전북 순창군"
"90","강원특별자치도 양양군 현북면 말곡리","1**","단독","8m미만","49.94","300.00","202503","01","8,400","개인","개인","1954","말곡길","-","중개거래","강원 양양군"
"91","경상북도 안동시 와룡면 가구리","4**","단독","8m미만","99.54","532.00","202503","01","26,500","개인","개인","2014","동악골길","-","중개거래","경북 안동시"
"92","전북특별자치도 순창군 순창읍 남계리","3**","단독","12m미만","106.51","147.90","202503","01","9,450","개인","개인","1991","양지길","-","중개거래","전북 순창군"
"93","충청북도 진천군 진천읍 지암리","1**","단독","8m미만","97.56","504.00","202503","01","25,000","법인","개인","2017","지암2길","-","중개거래","충북 진천군"
"94","경상남도 창원시 의창구 봉곡동","1**","단독","12m미만","312.18","227.10","202503","01","36,800","개인","개인","1996","봉곡로93번길","-","중개거래","경남 창원시 의창구"
"95","충청남도 부여군 충화면 현미리","4**","단독","8m미만","59.95","407.00","202503","01","2,820","개인","개인","1925","현미로","20250326","중개거래","전북 익산시"
"96","충청남도 보령시 대천동","5*","단독","12m미만","96.23","161.60","202503","01","20,000","개인","개인","1979","신평중앙길","-","중개거래","충남 보령시"
"97","서울특별시 서대문구 연희동","1**","단독","8m미만","83.37","191.40","202502","28","120,000","개인","개인","1968","연희로11라길","-","중개거래","서울 서대문구"
"98","강원특별자치도 고성군 거진읍 거진리","1**","단독","8m미만","41.86","54.00","202502","28","4,200","개인","개인","2002","거진길","-","직거래","-"
"99","부산광역시 부산진구 부전동","3**","단독","8m미만","22.14","16.50","202502","28","12,400","개인","개인","1968","부전로153번길","-","중개거래","부산 부산진구"
"100","서울특별시 마포구 도화동","2**","단독","8m미만","24.73","46.30","202502","28","100,000","개인","개인","1969","삼개로5안길","-","직거래","-"
"101","제주특별자치도 서귀포시 대정읍 하모리","7**","단독","8m미만","33.05","115.70","202502","28","6,200","개인","개인","1962","최남단해안로15번길","-","중개거래","제주 서귀포시"
"102","충청남도 천안시 서북구 성거읍 석교리","1**","단독","8m미만","91.00","165.25","202502","28","22,105","개인","법인","2025","석교1길","-","직거래","-"
"103","서울특별시 양천구 신정동","1***","다가구","8m미만","244.79","143.60","202502","28","131,000","개인","개인","1991","중앙로39길","-","중개거래","서울 금천구, 서울 양천구"
"104","충청남도 청양군 대치면 시전리","5**","단독","8m미만","86.40","304.00","202502","28","4,000","개인","개인","1997","청산로","-","중개거래","충남 청양군"
"105","대구광역시 서구 평리동","6**","단독","12m미만","131.60","122.20","202502","28","15,500","개인","개인","1983","서대구로44길","-","중개거래","대구 달서구"
"106","서울특별시 강서구 등촌동","6**","단독","12m미만","474.14","160.10","202502","28","213,000","법인","개인","1993","공항대로59가길","-","중개거래","서울 강남구"
"107","경상북도 안동시 풍천면 어담리","6**","단독","12m미만","43.68","2259.00","202502","28","4,000","개인","개인","1970","삼표산길","-","직거래","-"
"108","경상북도 구미시 선산읍 노상리","5*","단독","8m미만","85.05","89.00","202502","28","6,000","개인","개인","1997","단계서3길","-","직거래","-"
"109","강원특별자치도 양구군 양구읍 한전리","1**","단독","8m미만","79.90","268.00","202502","28","8,000","개인","개인","2001","금강산로","-","직거래","-"
"110","강원특별자치도 홍천군 두촌면 철정리","1***","단독","8m미만","84.67","795.00","202502","28","6,500","개인","개인","2024","철정여내길","-","직거래","-"
"111","충청남도 천안시 서북구 성거읍 석교리","1**","단독","8m미만","91.00","165.25","202502","28","22,105","개인","법인","2025","석교1길","-","직거래","-"
"112","경상남도 김해시 외동","1***","단독","12m미만","491.22","280.30","202502","28","53,000","개인","개인","1996","함박로31번길","-","중개거래","경남 김해시"
"113","제주특별자치도 제주시 한림읍 월림리","4**","단독","8m미만","67.00","423.00","202502","28","10,000","개인","개인","2019","월림3길","-","중개거래","제주 제주시"
"114","부산광역시 영도구 동삼동","9**","단독","8m미만","113.66","140.30","202502","28","22,000","개인","개인","1985","하리서길","-","직거래","-"
"115","강원특별자치도 철원군 동송읍 상노리","2**","단독","8m미만","71.47","446.00","202502","28","2,100","개인","개인","2006","상노1길","-","직거래","-"
"116","강원특별자치도 철원군 철원읍 화지리","6*","단독","8m미만","73.54","154.00","202502","28","5,000","개인","개인","1983","금학로279번길","-","직거래","-"
"117","충청남도 천안시 서북구 성거읍 석교리","1**","단독","8m미만","91.00","165.25","202502","28","22,105","개인","법인","2025","석교1길","-","직거래","-"
"118","부산광역시 영도구 청학동","1**","단독","8m미만","100.40","119.00","202502","28","10,000","개인","개인","1978","청학로16번길","-","직거래","-"
"119","부산광역시 영도구 청학동","3**","단독","8m미만","66.78","39.00","202502","28","2,640","개인","개인","1994","청학서로39번길","-","직거래","-"
"120","경상남도 진주시 가좌동","4**","다가구","12m미만","281.86","194.50","202502","28","63,400","개인","개인","2007","개양로6번길","-","중개거래","경남 진주시"
"121","강원특별자치도 평창군 방림면 계촌리","1***","단독","8m미만","82.26","760.00","202502","28","14,800","개인","개인","2018","고원로","-","직거래","-"
"122","충청남도 천안시 서북구 성거읍 석교리","1**","단독","8m미만","91.00","165.25","202502","28","22,105","개인","법인","2025","석교1길","-","직거래","-"
"123","경상남도 진주시 하대동","3**","단독","8m미만","61.12","102.60","202502","28","8,000","개인","개인","1981","하대로","-","중개거래","경남 진주시"
"124","인천광역시 연수구 옥련동","2**","단독","8m미만","224.93","163.00","202502","28","20,500","개인","개인","1994","옥련로99번길","20250313","중개거래","인천 연수구"
"125","경상북도 청도군 청도읍 구미리","2**","단독","8m미만","59.70","340.00","202502","28","5,500","개인","개인","1978","구미길","-","직거래","-"
"126","전라남도 순천시 조례동","3**","단독","8m미만","64.51","324.00","202502","28","46,500","개인","개인","1991","조례1길","-","중개거래","전남 순천시"
"127","경상북도 경산시 하양읍 금락리","5*","단독","8m미만","113.66","149.00","202502","28","10,200","개인","개인","1977","아낙고개길4길","-","중개거래","경북 경산시"
"128","경상북도 경산시 하양읍 대조리","5**","단독","8m미만","60.70","254.00","202502","28","13,376","개인","개인","1979","새각단길","-","중개거래","경북 경산시"
"129","강원특별자치도 평창군 평창읍 주진리","2**","단독","8m미만","78.48","660.00","202502","28","18,050","개인","개인","2011","찬샘내기2길","-","중개거래","강원 평창군"
"130","충청남도 서산시 부석면 지산리","2**","단독","8m미만","69.49","362.00","202502","28","12,000","개인","개인","2017","지산1길","-","중개거래","충남 서산시"
"131","전라남도 순천시 조례동","1***","단독","25m미만","440.37","248.20","202502","28","66,500","개인","개인","2003","왕궁중앙길","-","직거래","-"
"132","충청남도 천안시 서북구 성거읍 석교리","1**","단독","8m미만","91.00","165.25","202502","28","22,105","개인","법인","2025","석교1길","-","직거래","-"
"133","경상북도 경산시 자인면 교촌리","2**","단독","8m미만","206.76","771.00","202502","28","12,000","개인","개인","1990","교촌길1길","-","중개거래","경북 경산시"
"134","서울특별시 동작구 대방동","*","단독","25m미만","465.73","202.00","202502","28","230,000","개인","개인","1989","등용로","-","중개거래","서울 동작구"
"135","경상북도 영주시 영주동","5*","단독","8m미만","104.93","107.00","202502","28","9,500","개인","개인","2013","숫골길24번길","-","직거래","-"
"136","강원특별자치도 영월군 영월읍 방절리","5**","단독","8m미만","113.42","465.00","202502","28","29,200","개인","개인","2023","","-","직거래","-"
"137","강원특별자치도 횡성군 강림면 월현리","5**","단독","8m미만","91.54","994.00","202502","28","34,000","법인","개인","2015","월현뜨래꽃길","-","중개거래","강원 횡성군"
"138","충청북도 청주시 상당구 수동","3**","단독","25m미만","70.32","116.40","202502","28","24,000","법인","개인","1958","우암산로","-","중개거래","충북 청주시 흥덕구"
"139","강원특별자치도 횡성군 청일면 갑천리","1**","단독","12m미만","185.53","533.00","202502","28","25,000","개인","개인","1997","봉덕로","-","중개거래","강원 횡성군"
"140","대전광역시 서구 괴정동","8*","단독","12m미만","152.30","200.50","202502","28","60,000","개인","개인","1983","괴정로134번길","-","직거래","-"
"141","강원특별자치도 횡성군 서원면 유현리","4**","단독","8m미만","99.41","660.00","202502","28","27,450","개인","개인","2018","경강로","-","중개거래","강원 횡성군"
"142","경상북도 청송군 진보면 신촌리","4**","단독","25m미만","97.74","660.00","202502","28","10,150","개인","개인","1993","경동로","-","직거래","-"
"143","서울특별시 강남구 개포동","1***","단독","12m미만","518.92","185.10","202502","28","400,000","법인","개인","1990","개포로20길","-","중개거래","서울 강남구"
"144","강원특별자치도 횡성군 서원면 유현리","4**","단독","8m미만","99.41","660.00","202502","28","27,450","개인","개인","2018","경강로","20250228","중개거래","강원 횡성군"
"145","충청북도 청주시 상당구 수동","3**","단독","25m미만","76.04","89.60","202502","28","20,000","법인","개인","1976","우암산로","-","중개거래","충북 청주시 흥덕구"
"146","경기도 수원시 권선구 서둔동","2**","다가구","8m미만","420.00","223.00","202502","28","87,000","개인","개인","2012","여기산로16번길","-","중개거래","경기 수원시 권선구"
"147","경기도 용인시 처인구 양지면 대대리","5**","단독","8m미만","206.00","441.00","202502","28","53,442","개인","개인","2016","주북로235번길","-","중개거래","경기 수원시 영통구, 경기 용인시 처인구"
"148","경기도 여주시 점동면 장안리","5**","단독","-","170.25","435.00","202502","28","45,000","개인","법인","1999","도리길","-","직거래","-"
"149","경기도 오산시 오산동","8**","단독","8m미만","68.34","97.20","202502","28","25,000","개인","개인","1980","시장길","-","중개거래","경기 오산시"
"150","경상남도 창원시 마산합포구 구산면 심리","5*","단독","12m미만","168.45","422.00","202502","28","13,500","개인","개인","2024","","-","직거래","-"
"151","경기도 포천시 이동면 노곡리","1***","단독","8m미만","187.47","624.00","202502","28","45,000","개인","개인","2021","새낭로","-","직거래","-"
"152","경기도 화성시 매송면 숙곡리","1**","단독","8m미만","220.36","645.00","202502","28","75,904","개인","개인","1974","숙곡길","-","중개거래","경기 화성시"
"153","전라남도 광양시 광양읍 덕례리","1***","단독","8m미만","597.66","351.00","202502","28","59,500","개인","개인","2011","덕례길","-","직거래","-"
"154","경기도 파주시 검산동","5**","단독","8m미만","35.49","61.00","202502","28","3,500","개인","개인","1999","검산로22번길","20250305","직거래","-"
"155","인천광역시 남동구 구월동","1***","단독","8m미만","143.98","158.00","202502","28","41,500","공공기관","개인","1985","모래내로","-","중개거래","인천 남동구"
"156","경상남도 의령군 가례면 가례리","3**","단독","8m미만","58.90","115.50","202502","28","5,350","개인","개인","1993","새가례로","-","중개거래","경남 합천군"
"157","전라남도 담양군 고서면 분향리","1**","단독","8m미만","128.65","417.00","202502","28","10,000","개인","개인","1979","","-","직거래","-"
"158","전라남도 담양군 대전면 병풍리","2**","단독","8m미만","81.00","281.00","202502","28","13,000","개인","개인","2005","노은동길","-","중개거래","전남 담양군"
"159","경상남도 고성군 거류면 신용리","1***","단독","8m미만","92.90","427.50","202502","28","25,000","개인","개인","2016","신용10길","-","직거래","-"
"160","경기도 파주시 검산동","5**","단독","8m미만","59.60","61.00","202502","28","3,500","개인","개인","2000","검산로22번길","-","직거래","-"
"161","대전광역시 유성구 덕명동","5**","단독","12m미만","99.61","427.60","202502","28","84,000","개인","개인","2013","덕명서로12번길","-","직거래","-"
"162","경기도 성남시 수정구 신흥동","3***","단독","8m미만","99.18","67.80","202502","28","57,600","개인","개인","1971","시민로150번길","-","중개거래","경기 성남시 수정구"
"163","인천광역시 미추홀구 학익동","1**","단독","8m미만","81.98","411.00","202502","28","36,365","개인","개인","1971","햇골길19번길","-","직거래","-"
"164","인천광역시 중구 답동","5*","단독","8m미만","21.49","39.70","202502","28","7,200","개인","개인","1953","인중로144번길","-","중개거래","인천 중구"
"165","경상남도 합천군 대양면 양산리","3**","단독","8m미만","82.08","349.00","202502","28","9,400","개인","개인","1998","양산길","-","직거래","-"
"166","전라남도 구례군 용방면 중방리","3**","단독","8m미만","53.55","581.00","202502","28","6,000","개인","개인","2012","감천1길","-","직거래","-"
